,host_name,host_since,host_neighbourhood,property_type,room_type,price
3144,Andrew,2015-12-07,Sherman Oaks,Entire guesthouse,Entire home/apt,$87.00
3145,Trevor,2013-09-18,Hollywood Hills,Entire guesthouse,Entire home/apt,$236.00
3146,Paula,2015-12-07,Mid-Wilshire,Private room in home,Private room,$52.00
3147,Sylviane,2013-06-07,Topanga,Entire place,Entire home/apt,$85.00
3148,Sally,2015-12-08,,Private room in loft,Private room,
3149,Keith,2015-12-08,Mar Vista,Private room in rental unit,Private room,
3150,Steven,2016-01-07,,Entire home,Entire home/apt,$346.00
3151,Jason,2014-03-09,Venice,Entire rental unit,Entire home/apt,
3152,Don,2016-01-04,Venice,Entire home,Entire home/apt,$190.00
3153,Jocelyn,2016-01-07,Beverly Hills,Entire villa,Entire home/apt,"$1,442.00"
3154,Nirit,2013-09-04,Tarzana,Entire home,Entire home/apt,$195.00
3155,Art,2015-12-22,Monterey Park,Private room in home,Private room,
3156,Ellen,2013-03-02,Pasadena,Entire guesthouse,Entire home/apt,
3157,Dyane,2015-12-23,South LA,Private room in rental unit,Private room,$59.00
3158,Christopher,2014-10-27,,Private room in rental unit,Private room,
3159,Hui,2015-12-23,Arcadia,Entire home,Entire home/apt,$322.00
3160,Chris,2015-12-23,,Entire home,Entire home/apt,
3161,Sho,2015-12-23,,Private room in rental unit,Private room,$70.00
3162,Ivy,2015-05-13,Palms,Entire rental unit,Entire home/apt,$85.00
3163,Ben,2015-12-26,West Los Angeles,Entire rental unit,Entire home/apt,
3164,Noelani Kathleen,2015-12-26,Culver City,Entire guesthouse,Entire home/apt,$139.00
3165,Sadé,2015-11-13,South LA,Private room in rental unit,Private room,
3166,Keith,2015-12-08,Mar Vista,Private room in rental unit,Private room,
3167,Christianne,2015-11-22,Inglewood,Private room in home,Private room,$77.00
3168,Sydney,2013-10-10,Venice,Entire rental unit,Entire home/apt,$165.00
3169,Mike,2014-12-28,Venice,Entire rental unit,Entire home/apt,$101.00
3170,James W.,2014-08-06,Mid-Wilshire,Entire condo,Entire home/apt,$119.00
3171,Mary,2015-10-24,La Crescenta-Montrose,Private room in home,Private room,
3172,Janet,2013-11-26,Santa Monica,Entire guesthouse,Entire home/apt,$114.00
3173,Sydney,2013-10-10,Venice,Entire rental unit,Entire home/apt,$247.00
3174,Kaytee,2011-07-18,Downtown,Private room in rental unit,Private room,
3175,Ali,2013-05-18,Culver City,Private room in home,Private room,$46.00
3176,Cecilio,2013-03-11,Mid-Wilshire,Entire rental unit,Entire home/apt,
3177,Diane,2014-10-06,West Hollywood,Entire condo,Entire home/apt,$102.00
3178,Edward,2015-07-23,Highland Park,Entire rental unit,Entire home/apt,$94.00
3179,Vanessa,2011-04-29,West Hollywood,Entire condo,Entire home/apt,
3180,Leah,2015-12-19,Mid-Wilshire,Entire rental unit,Entire home/apt,
3181,Gary,2015-02-11,Torrance,Shared room in rental unit,Shared room,
3182,Roxanne,2014-12-25,,Entire rental unit,Entire home/apt,
3183,Jerusha,2014-03-17,Culver City,Entire home,Entire home/apt,
3184,Suzette Major,2015-12-27,Glendale,Entire guest suite,Entire home/apt,$158.00
3185,Chase,2014-09-22,Studio City,Entire rental unit,Entire home/apt,
3186,Sophia,2015-11-06,South Pasadena,Entire home,Entire home/apt,
3187,Brian,2015-12-27,Altadena,Entire guesthouse,Entire home/apt,$123.00
3188,Binjie,2015-12-27,,Private room in home,Private room,
3189,Ian,2015-11-23,,Entire rental unit,Entire home/apt,
3190,Shawn,2014-05-15,West Adams,Private room in rental unit,Private room,
3191,Nathan,2012-11-01,Los Feliz,Entire home,Entire home/apt,"$2,500.00"
3192,Yi,2014-08-22,,Shared room in home,Shared room,
3193,Alexander,2013-08-13,,Entire rental unit,Entire home/apt,$129.00
3194,Helene,2016-01-07,Manhattan Beach,Private room in home,Private room,
3195,Jacqulene,2016-01-09,,Private room in home,Private room,$50.00
3196,Kristin Marie,2015-09-01,El Segundo,Private room in home,Private room,$112.00
3197,Matthew,2013-05-15,Long Beach,Private room in home,Private room,$62.00
3198,Hellen,2015-11-02,,Private room in villa,Private room,$96.00
3199,Hellen,2015-11-02,,Private room in home,Private room,$792.00
3200,Lloyd,2015-12-03,Studio City,Entire guest suite,Entire home/apt,$90.00
3201,Gerardo,2014-06-25,Los Altos,Private room in tiny home,Private room,
3202,Enrique,2015-12-20,,Private room in home,Private room,$27.00
3203,Matthias,2015-09-26,Westside,Private room in home,Private room,
3204,Thomas,2015-03-18,East Hollywood,Entire rental unit,Entire home/apt,
3205,Valle,2015-07-11,Culver City,Private room in home,Private room,
3206,Isidor,2014-07-14,South Los Angeles,Entire home,Entire home/apt,$330.00
3207,Cris,2013-12-05,Mid-Wilshire,Shared room in rental unit,Shared room,
3208,Thomas,2015-11-16,,Entire condo,Entire home/apt,$184.00
3209,Malina,2015-10-19,Los Feliz,Entire rental unit,Entire home/apt,
3210,Jerry,2012-09-02,Burbank,Entire rental unit,Entire home/apt,$188.00
3211,Jerry,2012-09-02,Burbank,Entire rental unit,Entire home/apt,$169.00
3212,Bryon,2014-02-25,Long Beach,Entire rental unit,Entire home/apt,
3213,Aren,2015-05-18,Inglewood,Private room in rental unit,Private room,
3214,Betty,2014-05-23,Monterey Park,Private room in home,Private room,$48.00
3215,Kailash,2015-07-02,West Adams,Private room in rental unit,Private room,
3216,Eugen,2014-05-13,,Private room in rental unit,Private room,
3217,Ignacia,2015-12-29,Torrance,Private room in home,Private room,$63.00
3218,Zimi,2013-11-15,El Monte,Entire home,Entire home/apt,
3219,Lindsay,2015-12-21,Pasadena,Entire rental unit,Entire home/apt,
3220,Olga,2015-12-21,West Hollywood,Entire condo,Entire home/apt,$189.00
3221,Roberta,2015-11-15,Pasadena,Private room in home,Private room,$75.00
3222,Arleen,2015-12-21,,Entire guest suite,Entire home/apt,$93.00
3223,Bobby,2015-12-31,Hermosa Beach,Entire rental unit,Entire home/apt,
3224,Marie,2014-07-08,Eagle Rock,Entire home,Entire home/apt,
3225,James,2015-02-09,Westlake,Entire rental unit,Entire home/apt,$140.00
3226,Lindsay,2015-12-20,Redondo Beach,Entire home,Entire home/apt,$341.00
3227,Daniela,2012-09-18,Venice,Entire home,Entire home/apt,$302.00
3228,Shannon,2013-09-15,Burbank,Entire guesthouse,Entire home/apt,$149.00
3229,Erwin,2014-04-11,,Private room in rental unit,Private room,$75.00
3230,Giselle,2013-08-16,Altadena,Entire home,Entire home/apt,
3231,Carlos,2014-06-11,Westwood,Entire condo,Entire home/apt,$79.00
3232,Ruth,2015-11-09,Elysian Valley,Entire home,Entire home/apt,$110.00
3233,Mieesha & Stewart,2015-09-11,South LA,Private room in rental unit,Private room,
3234,David,2014-04-22,Eagle Rock,Entire guesthouse,Entire home/apt,
3235,Steve & Sara,2013-06-25,Highland Park,Entire guesthouse,Entire home/apt,
3236,Rita,2015-12-30,Malibu,Entire guesthouse,Entire home/apt,$200.00
3237,Nicole,2011-07-29,Westside,Entire rental unit,Entire home/apt,$120.00
3238,Patricia,2015-12-30,,Private room in home,Private room,
3239,Mark,2015-06-20,West Hollywood,Entire guest suite,Entire home/apt,$160.00
3240,Bryan,2013-11-30,Mid-Wilshire,Private room in rental unit,Private room,$100.00
3241,Viviana,2014-03-12,Cypress Park,Entire guest suite,Entire home/apt,$81.00
3242,Naeem,2014-07-08,,Private room in condo,Private room,
3243,Brooklyn,2012-06-10,,Private room in home,Private room,$73.00
3244,Bunmi,2016-01-21,Harbor City,Entire bungalow,Entire home/apt,$200.00
3245,Deshun,2015-08-24,South LA,Entire cabin,Entire home/apt,$64.00
3246,Deshun,2015-08-24,South LA,Entire rental unit,Entire home/apt,$112.00
3247,Cheryl,2011-04-06,Santa Monica,Entire rental unit,Entire home/apt,$253.00
3248,Cindy,2014-10-24,South Pasadena,Entire cottage,Entire home/apt,
3249,Jason,2014-07-22,West Hollywood,Entire home,Entire home/apt,$554.00
3250,David,2016-01-03,Woodland Hills/Warner Center,Private room in rental unit,Private room,$80.00
3251,Luis,2015-10-18,South LA,Entire home,Entire home/apt,$137.00
3252,Jeremiah,2016-01-03,Palms,Entire rental unit,Entire home/apt,
3253,Cindya & Marcus,2016-01-04,Hollywood Hills,Entire condo,Entire home/apt,
3254,Lucy,2016-01-22,Mar Vista,Entire rental unit,Entire home/apt,
3255,Virginia,2015-02-09,,Private room in bungalow,Private room,$159.00
3256,Ignacia,2015-12-29,Torrance,Private room in home,Private room,$63.00
3257,Paul,2016-01-14,Downtown,Entire loft,Entire home/apt,$100.00
3258,Rachael,2013-01-31,Santa Monica,Entire bungalow,Entire home/apt,$113.00
3259,Rosie,2016-01-02,Monterey Park,Private room in home,Private room,$176.00
3260,Vincent,2016-01-14,Burbank,Private room in home,Private room,
3261,Vincent,2016-01-14,Burbank,Entire home,Entire home/apt,"$1,000.00"
3262,Thararanga,2014-09-22,,Entire rental unit,Entire home/apt,$48.00
3263,Kathy,2014-01-14,Culver City,Entire guest suite,Entire home/apt,$115.00
3264,Cooper,2014-03-21,Echo Park,Private room in home,Private room,
3265,Patrick,2016-01-22,,Private room in home,Private room,
3266,Heidi,2013-06-24,Santa Monica,Entire home,Entire home/apt,$395.00
3267,Deanna,2011-11-06,,Private room in farm stay,Private room,$56.00
3268,Oji,2016-01-17,South LA,Entire home,Entire home/apt,$76.00
3269,Geoffrey,2015-06-08,,Entire rental unit,Entire home/apt,$89.00
3270,Ahamed,2014-02-20,Hollywood,Entire rental unit,Entire home/apt,
3271,Glecy,2015-05-28,Carson,Private room in home,Private room,$51.00
3272,Genghis,2015-10-09,Monterey Park,Private room in bungalow,Private room,$75.00
3273,Genghis,2015-10-09,Monterey Park,Private room in home,Private room,$50.00
3274,Ricardo,2014-08-07,Venice,Entire home,Entire home/apt,$704.00
3275,Brenda,2014-07-31,Northridge,Entire home,Entire home/apt,$135.00
3276,Brenda,2014-07-31,Northridge,Entire home,Entire home/apt,$295.00
3277,Sepideh,2014-08-20,Venice,Entire home,Entire home/apt,$704.00
3278,Andy,2015-08-20,Lake Balboa,Entire guest suite,Entire home/apt,$60.00
3279,Marcelo,2015-12-28,,Entire home,Entire home/apt,$141.00
3280,Kristina,2014-07-25,Venice,Entire cottage,Entire home/apt,
3281,Amber,2015-06-29,Westchester/Playa Del Rey,Entire rental unit,Entire home/apt,
3282,Miles,2015-07-20,Long Beach,Entire condo,Entire home/apt,
3283,Gali,2014-02-25,Mid-Wilshire,Private room in condo,Private room,
3284,Jerry & Kelly,2016-01-01,,Entire home,Entire home/apt,$573.00
3285,Tom,2015-07-20,,Entire condo,Entire home/apt,$405.00
3286,Lois Margaret,2015-05-21,Redondo Beach,Entire townhouse,Entire home/apt,$147.00
3287,Susan,2012-03-08,Redondo Beach,Private room in condo,Private room,$125.00
3288,Melik,2013-11-17,Sun Valley,Entire home,Entire home/apt,$250.00
3289,Luana,2012-12-12,Central LA,Private room in rental unit,Private room,$85.00
3290,Jeanette,2014-01-23,East Village,Entire condo,Entire home/apt,
3291,Tosha,2016-01-18,Huntington Park,Shared room in rental unit,Shared room,
3292,Nancy,2016-01-18,Silver Lake,Private room in guest suite,Private room,$100.00
3293,Desi,2016-01-18,Boyle Heights,Private room in home,Private room,$62.00
3294,Doug,2015-12-16,Baldwin Hills,Entire rental unit,Entire home/apt,
3295,Pamela,2016-01-18,Sylmar,Farm stay,Entire home/apt,$207.00
3296,Alex,2018-02-10,Valley Glen,Entire home,Entire home/apt,$423.00
3297,Nita,2016-01-18,North Hollywood,Entire loft,Entire home/apt,$100.00
3298,Tayfun,2014-03-06,,Entire rental unit,Entire home/apt,$314.00
3299,Ahmed,2012-07-15,West Hollywood,Private room in rental unit,Private room,
3300,Amir,2016-01-25,West Adams,Entire home,Entire home/apt,$148.00
3301,Dalit,2015-09-19,,Entire bungalow,Entire home/apt,$83.00
3302,Estate Hosts,2023-03-24,Newton,Entire home,Entire home/apt,$521.00
3303,Dalit,2015-09-19,,Entire rental unit,Entire home/apt,$70.00
3304,Martha,2015-06-12,Arcadia,Private room in bed and breakfast,Private room,$66.00
3305,Mike,2016-01-05,,Private room in home,Private room,
3306,Daniel,2014-02-06,Venice,Entire rental unit,Entire home/apt,
3307,TurnKey,2015-04-13,Hermosa Beach,Entire home,Entire home/apt,"$3,339.00"
3308,Madison,2015-07-19,Downtown,Entire rental unit,Entire home/apt,$201.00
3309,Cece,2016-02-05,Sun Valley,Private room in townhouse,Private room,
3310,Tyler,2013-12-31,Mid-Wilshire,Entire guesthouse,Entire home/apt,
3311,Ahamed,2014-02-20,Hollywood,Entire rental unit,Entire home/apt,
3312,Marvin,2015-05-27,Hollywood,Private room in home,Private room,
3313,Nanette And Dave,2011-10-06,Mount Olympus,Entire home,Entire home/apt,$280.00
3314,Sabrina,2014-06-09,Mid-Wilshire,Entire rental unit,Entire home/apt,$232.00
3315,Xinpan,2014-07-27,Culver City,Private room in home,Private room,
3316,Alexander,2012-05-23,West Adams,Private room in home,Private room,
3317,Jess,2014-04-08,Malibu,Entire home,Entire home/apt,"$5,000.00"
3318,Irma,2015-12-12,Burbank,Entire rental unit,Entire home/apt,$118.00
3319,Linda,2014-05-22,,Private room in home,Private room,
3320,Melissa,2014-08-27,Venice,Private room in home,Private room,$75.00
3321,Steve,2014-05-14,Atwater Village,Entire home,Entire home/apt,$72.00
3322,Ben,2011-08-21,Mid-Wilshire,Private room in rental unit,Private room,
3323,Randall Michael,2016-01-20,Burbank,Private room in home,Private room,$80.00
3324,Adam,2012-09-25,Arts District,Entire rental unit,Entire home/apt,
3325,Evelyn,2016-02-05,Hollywood,Entire loft,Entire home/apt,$99.00
3326,Ashlyn & JD,2015-01-13,,Entire guesthouse,Entire home/apt,$126.00
3327,Jon,2016-02-06,,Entire condo,Entire home/apt,$180.00
3328,Randy,2015-05-24,Torrance,Entire home,Entire home/apt,
3329,Malgorzata,2016-02-06,Redondo Beach,Private room in home,Private room,$95.00
3330,Grace,2016-02-06,Glendale,Private room in rental unit,Private room,
3331,Zimi,2013-11-15,El Monte,Entire townhouse,Entire home/apt,
3332,Anum,2014-08-25,West Los Angeles,Entire rental unit,Entire home/apt,
3333,Jessica,2014-09-09,Manhattan Beach,Private room in home,Private room,
3334,Mathias,2015-01-16,Woodland Hills/Warner Center,Entire home,Entire home/apt,$124.00
3335,Pamela,2012-06-27,Hollywood Hills,Entire rental unit,Entire home/apt,$152.00
3336,Fariba,2015-10-19,Woodland Hills/Warner Center,Entire condo,Entire home/apt,$115.00
3337,Shawn,2016-01-20,South LA,Private room in home,Private room,$50.00
3338,Air Concierge,2013-01-10,Venice,Entire home,Entire home/apt,$640.00
3339,Amal,2016-01-21,Venice,Entire loft,Entire home/apt,
3340,Elian Daniel,2012-07-02,,Entire guest suite,Entire home/apt,$150.00
3341,Farwa & Raza,2014-07-22,East Los Angeles,Entire home,Entire home/apt,$301.00
3342,Deana,2015-12-29,,Entire home,Entire home/apt,$413.00
3343,Aleshcha,2016-01-23,Temple City,Entire guesthouse,Entire home/apt,
3344,Tom,2015-10-23,Santa Monica,Entire bungalow,Entire home/apt,$203.00
3345,Samantha,2016-01-28,Glendale,Entire rental unit,Entire home/apt,$128.00
3346,John-Thomas,2016-01-28,,Private room in rental unit,Private room,
3347,Rohan,2016-01-24,,Private room in condo,Private room,$106.00
3348,Marc Victor,2011-02-04,West Hollywood,Entire home,Entire home/apt,$246.00
3349,Sandra,2016-02-07,,Entire guest suite,Entire home/apt,
3350,Oscar,2016-02-07,Carson,Private room in home,Private room,$42.00
3351,Julian :),2016-02-08,Encino,Private room in home,Private room,$120.00
3352,Ashai,2013-09-08,Long Beach,Entire home,Entire home/apt,$300.00
3353,Scott,2016-02-08,Mid-Wilshire,Entire rental unit,Entire home/apt,$73.00
3354,Angelic,2016-02-08,Mid-Wilshire,Entire rental unit,Entire home/apt,
3355,Jade,2016-02-04,La Crescenta-Montrose,Entire home,Entire home/apt,
3356,Noah,2012-02-13,Altadena,Private room in home,Private room,$71.00
3357,Phillip,2016-02-09,Central LA,Entire rental unit,Entire home/apt,$79.00
3358,Cihan,2015-02-19,Hollywood,Private room in rental unit,Private room,$71.00
3359,DiDi,2013-09-17,Hawthorne,Private room in home,Private room,$89.00
3360,Dari,2016-02-19,Westwood,Entire rental unit,Entire home/apt,"$1,222.00"
3361,Carlos,2014-06-11,Westwood,Entire condo,Entire home/apt,$304.00
3362,Bridget,2015-10-27,,Entire cottage,Entire home/apt,$469.00
3363,Yama,2016-02-20,,Private room in home,Private room,$165.00
3364,DaVida,2013-05-10,Westlake,Entire rental unit,Entire home/apt,
3365,Jill Michael,2012-08-31,Eagle Rock,Entire home,Entire home/apt,$165.00
3366,Guy And Debra,2016-02-21,Manhattan Beach,Entire townhouse,Entire home/apt,$295.00
3367,Geraldine,2014-11-13,San Pedro,Private room in home,Private room,$82.00
3368,Ann,2011-11-07,Woodland Hills,Private room in home,Private room,$75.00
3369,Chelsea,2016-01-20,West Hollywood,Entire rental unit,Entire home/apt,
3370,Sarah,2015-02-27,Echo Park,Entire home,Entire home/apt,$249.00
3371,Simone,2014-06-05,Mid-Wilshire,Entire rental unit,Entire home/apt,
3372,Eric,2015-07-17,North Hollywood,Entire bungalow,Entire home/apt,$149.00
3373,La Mirada,2015-12-09,Hollywood,Entire rental unit,Entire home/apt,$75.00
3374,Sabrina,2014-06-09,Mid-Wilshire,Entire rental unit,Entire home/apt,$269.00
3375,Leynete,2012-05-15,Pacific Heights,Entire home,Entire home/apt,
3376,Annie,2016-02-09,Hollywood,Private room in rental unit,Private room,
3377,Noah,2012-02-13,Altadena,Private room in home,Private room,$79.00
3378,Steven,2015-12-21,Pico Rivera,Entire home,Entire home/apt,$324.00
3379,Charles Paul,2013-01-29,Culver City,Entire cottage,Entire home/apt,$255.00
3380,Karen,2013-09-10,Santa Monica,Private room in home,Private room,$143.00
3381,Mi,2013-02-02,Echo Park,Entire home,Entire home/apt,
3382,Adi,2013-01-11,Mid-Wilshire,Entire rental unit,Entire home/apt,
3383,Amir,2015-12-07,Signal Hill,Entire home,Entire home/apt,
3384,Janet,2016-02-22,Alhambra,Entire home,Entire home/apt,
3385,Matthew,2014-02-23,Downey,Private room in home,Private room,$45.00
3386,Peter,2012-06-13,Silver Lake,Entire home,Entire home/apt,$131.00
3387,Rosa E,2014-06-02,Hollywood Hills,Entire home,Entire home/apt,$250.00
3388,Scott & Kim,2016-02-23,,Private room in guest suite,Private room,
3389,George Antonios,2012-12-12,Hollywood Hills,Entire villa,Entire home/apt,"$1,091.00"
3390,Andrew,2014-11-12,Hermosa Beach,Entire rental unit,Entire home/apt,$186.00
3391,Thanh,2013-11-22,,Private room in rental unit,Private room,
3392,Shay,2016-01-29,Lower Garden District,Entire guesthouse,Entire home/apt,$115.00
3393,Deborah,2012-04-17,Beverly Hills,Entire rental unit,Entire home/apt,$185.00
3394,Mark,2015-08-09,Whittier,Private room in home,Private room,$45.00
3395,Kim,2016-01-31,Mid-Wilshire,Entire guest suite,Entire home/apt,$143.00
3396,Leslie,2013-04-08,Westwood,Entire rental unit,Entire home/apt,
3397,Christopher,2014-09-04,Hollywood,Entire rental unit,Entire home/apt,
3398,Amy,2016-02-10,Sherman Oaks,Entire guest suite,Entire home/apt,$122.00
3399,Lisa,2014-03-25,Glassell Park,Entire guesthouse,Entire home/apt,$192.00
3400,Angie,2016-02-11,,Shared room in rental unit,Shared room,
3401,Katy,2013-07-26,Culver City,Entire home,Entire home/apt,
3402,Felice,2016-02-06,Topanga,Private room in loft,Private room,
3403,William,2012-05-22,Echo Park,Entire home,Entire home/apt,$154.00
3404,Bobby,2015-08-29,North Hollywood,Entire home,Entire home/apt,$800.00
3405,Robin,2016-01-31,Marina Del Rey,Entire condo,Entire home/apt,$238.00
3406,Trisha,2016-01-29,Westside,Private room in home,Private room,
3407,Cihan,2015-02-19,Hollywood,Private room in rental unit,Private room,$70.00
3408,Monaka,2014-12-09,Manhattan Beach,Entire guest suite,Entire home/apt,$182.00
3409,Rebecca,2016-02-01,El Segundo,Private room in guest suite,Private room,$112.00
3410,Rick,2014-09-28,Echo Park,Entire guesthouse,Entire home/apt,$181.00
3411,Elizabeth,2013-10-04,Venice,Private room in home,Private room,
3412,Adam,2015-01-11,Central LA,Private room in rental unit,Private room,$65.00
3413,Kalman,2015-06-04,Hollywood Hills,Entire home,Entire home/apt,$500.00
3414,Danna,2013-06-04,Central LA,Entire condo,Entire home/apt,$221.00
3415,Zee,2015-08-10,Hollywood,Entire rental unit,Entire home/apt,
3416,Alexa,2016-02-25,Hollywood Hills,Entire rental unit,Entire home/apt,$75.00
3417,Denise,2015-03-24,Santa Monica,Entire rental unit,Entire home/apt,$120.00
3418,Russ,2016-02-26,Venice,Entire rental unit,Entire home/apt,
3419,Isabelle,2016-02-12,Gardena,Private room in home,Private room,$68.00
3420,Mary-Alice,2013-01-06,Mid-Wilshire,Entire rental unit,Entire home/apt,
3421,Rich,2014-02-08,Hermosa Beach,Entire home,Entire home/apt,$202.00
3422,Michael,2013-12-24,Santa Monica,Private room in rental unit,Private room,
3423,Nicholas,2012-01-15,Los Feliz,Entire bungalow,Entire home/apt,$406.00
3424,Mary,2015-10-24,La Crescenta-Montrose,Private room in home,Private room,
3425,Delaram,2014-03-06,,Entire rental unit,Entire home/apt,$436.00
3426,Doris,2014-04-03,Mid-City,Entire home,Entire home/apt,$233.00
3427,Dora,2016-01-11,West Adams,Private room in rental unit,Private room,
3428,Boyu,2016-02-01,Palms,Private room in home,Private room,$50.00
3429,Maria,2014-11-16,Highland Park,Entire rental unit,Entire home/apt,
3430,Pam,2015-03-24,Santa Monica,Entire guest suite,Entire home/apt,
3431,Nicholas,2016-02-02,Winnetka,Private room in home,Private room,
3432,C,2015-07-17,Silver Lake,Entire guest suite,Entire home/apt,$65.00
3433,Cyndi,2012-06-05,,Entire townhouse,Entire home/apt,$320.00
3434,Gabi,2016-01-07,Valley Glen,Entire home,Entire home/apt,$101.00
3435,Thomas,2016-02-03,,Private room in guesthouse,Private room,$52.00
3436,Jeannine,2016-02-26,,Entire condo,Entire home/apt,$135.00
3437,Jaana,2016-02-27,South Los Angeles,Entire cottage,Entire home/apt,$75.00
3438,Jason,2016-02-27,Mid-Wilshire,Entire rental unit,Entire home/apt,
3439,Bonnie,2015-06-15,,Private room in rental unit,Private room,
3440,Tommy Sr,2016-02-28,Inglewood,Entire condo,Entire home/apt,$110.00
3441,Sabrina,2014-06-09,Mid-Wilshire,Entire rental unit,Entire home/apt,$314.00
3442,Pouran,2016-02-28,Sherman Oaks,Entire home,Entire home/apt,
3443,Anna,2013-05-25,East Hollywood,Entire rental unit,Entire home/apt,
3444,Cheyenne,2015-11-20,,Private room in rental unit,Private room,
3445,Ceylan,2015-05-07,West Hollywood,Entire home,Entire home/apt,"$1,000.00"
3446,Randall,2016-01-27,Westchester/Playa Del Rey,Entire home,Entire home/apt,
3447,Joachim,2016-02-03,Venice,Private room in home,Private room,$57.00
3448,Michelle,2016-02-04,Manhattan Beach,Entire home,Entire home/apt,$470.00
3449,Anthea,2015-10-04,Cypress Park,Private room in rental unit,Private room,$40.00
3450,Indico,2014-05-15,Hollywood,Entire rental unit,Entire home/apt,$105.00
3451,Stratos,2015-04-12,Burbank,Entire rental unit,Entire home/apt,
3452,Shayma,2016-02-11,Santa Monica,Entire rental unit,Entire home/apt,$101.00
3453,David,2016-02-15,Valley Glen,Entire guest suite,Entire home/apt,
3454,Juan,2016-02-15,Bellflower,Private room in condo,Private room,
3455,Keith,2016-02-15,,Private room in home,Private room,
3456,Amin,2012-04-09,Downtown,Private room in loft,Private room,
3457,Ashley,2013-07-31,Hollywood Hills,Entire rental unit,Entire home/apt,
3458,Shayma,2016-02-11,Santa Monica,Entire rental unit,Entire home/apt,
3459,Matt And George,2015-01-08,Sunland/Tujunga,Entire home,Entire home/apt,$352.00
3460,DuBois,2013-06-19,El Segundo,Private room in rental unit,Private room,
3461,Adiel,2016-02-04,East Hollywood,Entire rental unit,Entire home/apt,
3462,Joani,2015-08-31,West Hollywood,Entire place,Entire home/apt,$224.00
3463,Jessica,2013-04-05,Toluca Lake,Entire rental unit,Entire home/apt,
3464,DiDi,2013-09-17,Hawthorne,Private room in home,Private room,$68.00
3465,Meg,2012-06-01,Highland Park,Private room in rental unit,Private room,$60.00
3466,Crystal,2012-10-21,,Entire home,Entire home/apt,$260.00
3467,Andrew,2015-10-16,Sherman Oaks,Entire home,Entire home/apt,$189.00
3468,Alan,2015-05-23,West Los Angeles,Private room in rental unit,Private room,
3469,Steven,2015-04-11,Echo Park,Entire rental unit,Entire home/apt,
3470,Erick,2016-02-16,Hollywood Hills,Entire home,Entire home/apt,"$1,125.00"
3471,Suzanne,2015-12-04,,Private room in rental unit,Private room,
3472,Lilia,2016-02-17,El Sereno,Private room in home,Private room,$37.00
3473,Edmond & Abby,2016-02-17,Venice,Entire rental unit,Entire home/apt,
3474,Shayma,2016-02-11,Santa Monica,Entire rental unit,Entire home/apt,
3475,Bekim,2016-02-05,Sherman Oaks,Entire rental unit,Entire home/apt,$98.00
3476,Eric,2016-02-18,South Los Angeles,Entire guesthouse,Entire home/apt,$94.00
3477,Stefanie Lynn,2016-02-29,Marina Del Rey,Private room in condo,Private room,$120.00
3478,Diego,2012-07-27,Hollywood Hills,Entire villa,Entire home/apt,$303.00
3479,Amanda,2014-05-20,Santa Monica,Entire rental unit,Entire home/apt,$255.00
3480,Robert M.,2015-08-02,Arcadia,Entire home,Entire home/apt,$157.00
3481,Michele,2016-03-01,,Private room in rental unit,Private room,
3482,David,2013-11-28,Venice,Entire bungalow,Entire home/apt,$133.00
3483,Anthony,2016-02-18,Hollywood Hills,Entire home,Entire home/apt,
3484,Yani,2014-03-26,North Hollywood,Entire guest suite,Entire home/apt,$100.00
3485,Victoria,2013-02-04,Lincoln Heights,Entire townhouse,Entire home/apt,$140.00
3486,Todd,2015-01-10,Monrovia,Private room in home,Private room,$56.00
3487,Elena,2013-12-10,Mid-Wilshire,Entire rental unit,Entire home/apt,
3488,Lakey,2012-07-12,Garden Grove,Private room in home,Private room,
3489,Catie,2016-02-29,,Entire home,Entire home/apt,$592.00
3490,Marian,2015-08-03,Wilshire Montana,Entire rental unit,Entire home/apt,$536.00
3491,Sejo,2015-10-05,,Entire rental unit,Entire home/apt,
3492,Allan,2016-03-01,Laurel Canyon,Private room in rental unit,Private room,
3493,Alexandria,2015-06-18,,Entire home,Entire home/apt,"$1,379.00"
3494,John,2014-01-18,Long Beach,Entire rental unit,Entire home/apt,$99.00
3495,T James,2015-10-29,West Hollywood,Entire bungalow,Entire home/apt,$240.00
3496,Hayley,2012-07-28,Topanga,Entire guest suite,Entire home/apt,$162.00
3497,Tues,2013-06-07,,Entire rental unit,Entire home/apt,$110.00
3498,Vanessa,2015-08-29,Venice,Entire townhouse,Entire home/apt,$605.00
3499,Todd,2015-01-10,Monrovia,Private room in home,Private room,$56.00
3500,Jose Luis,2015-11-06,East Los Angeles,Entire rental unit,Entire home/apt,$77.00
3501,Corazon,2016-03-16,Carson,Private room in home,Private room,
3502,Michael,2012-08-22,Mid Central,Entire rental unit,Entire home/apt,$318.00
3503,Kelly,2014-04-24,Brentwood,Entire townhouse,Entire home/apt,
3504,Toktam,2016-03-16,Westwood,Entire rental unit,Entire home/apt,
3505,Nicholas,2014-07-21,,Shared room in rental unit,Shared room,
3506,Erin,2016-03-16,Hawthorne,Entire home,Entire home/apt,
3507,Guirong,2016-03-16,San Gabriel,Private room in rental unit,Private room,$60.00
3508,Guirong,2016-03-16,San Gabriel,Private room in rental unit,Private room,$60.00
3509,Ricky,2014-05-17,,Entire home,Entire home/apt,
3510,Rita,2015-12-30,Malibu,Private room,Private room,$342.00
3511,Derek,2015-02-02,Redondo Beach,Entire townhouse,Entire home/apt,
